id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
44124293,Excelente Apto na Glória. Custo benefício,210838104,Luiz Felipe,Glória,-22.91561,-43.17547,Shared room,150,30,0,,,1,90,0
3199731,Perfect place Jardim Botanico/Lagoa,16215597,Ana,Jardim Botânico,-22.96046,-43.20783,Private room,739,1,0,,,1,365,0
53164928,Pineapples Lc703 | Barra da Tijuca next to beach,371026651,Pineapples,Barra da Tijuca,-23.00883,-43.32936,Entire home/apt,3355,1,1,2022-06-15,0.15,84,338,1
21056924,"BEACH HOUSE SEGURANÇA 24H
CASA 2 QTS  BEIRA PRAIA!",78598801,Cláudia,Barra da Tijuca,-23.00926,-43.34024,Entire home/apt,2094,2,20,2022-09-04,0.37,3,270,4
1461998,"Great & Peaceful Apartment, Gloria",716415,Daniel,Santa Teresa,-22.91814,-43.17746,Entire home/apt,713,2,22,2022-12-19,0.19,1,14,1
33064747,Suite em Laranjeiras,13242801,Anelisa,Laranjeiras,-22.93362,-43.18345,Private room,200,2,1,2019-07-13,0.02,2,349,0
49334979,Posto 3 de Copa / Metrô grande e silencioso,459544,Cristina,Copacabana,-22.96268,-43.17938,Entire home/apt,1079,5,0,,,52,337,0
9435652,FLAT  HILARIO,44627753,Alcinea,Copacabana,-22.96974,-43.18395,Entire home/apt,465,3,104,2022-12-18,1.32,2,4,21
3105031,Olympic Games Rio 2016.,9768590,Bruno,Jacarepaguá,-22.9706,-43.41563,Entire home/apt,920,10,1,2016-08-19,0.01,1,358,0
696454460418860924,Apartamento em ótimo cond. 5 min praia/rio centro,192324613,Betinho,Recreio dos Bandeirantes,-23.0131,-43.46805,Entire home/apt,900,6,2,2022-11-16,0.55,1,176,2
54379100,"Cobertura lux, com piscina vista pedra da Gávea .",441363035,Kelly Cleide,Barra da Tijuca,-23.01034,-43.31113,Entire home/apt,3000,2,6,2022-11-12,0.6,1,141,6
2348208,Amazing and perfect located RJ,9554535,Maria Cristina,Gávea,-22.97738,-43.22863,Entire home/apt,6334,1,0,,,1,364,0
